Country,Province,City,Day,casos,obitos
Brasil,RO,Estado,2020-02-25,0.0,0.0
Brasil,RO,Estado,2020-02-26,0.0,0.0
Brasil,RO,Estado,2020-02-27,0.0,0.0
Brasil,RO,Estado,2020-02-28,0.0,0.0
Brasil,RO,Estado,2020-02-29,0.0,0.0
Brasil,RO,Estado,2020-03-01,0.0,0.0
Brasil,RO,Estado,2020-03-02,0.0,0.0
Brasil,RO,Estado,2020-03-03,0.0,0.0
Brasil,RO,Estado,2020-03-04,0.0,0.0
Brasil,RO,Estado,2020-03-05,0.0,0.0
Brasil,RO,Estado,2020-03-06,0.0,0.0
Brasil,RO,Estado,2020-03-07,0.0,0.0
Brasil,RO,Estado,2020-03-08,0.0,0.0
Brasil,RO,Estado,2020-03-09,0.0,0.0
Brasil,RO,Estado,2020-03-10,0.0,0.0
Brasil,RO,Estado,2020-03-11,0.0,0.0
Brasil,RO,Estado,2020-03-12,0.0,0.0
Brasil,RO,Estado,2020-03-13,0.0,0.0
Brasil,RO,Estado,2020-03-14,0.0,0.0
Brasil,RO,Estado,2020-03-15,0.0,0.0
Brasil,RO,Estado,2020-03-16,0.0,0.0
Brasil,RO,Estado,2020-03-17,0.0,0.0
Brasil,RO,Estado,2020-03-18,0.0,0.0
Brasil,RO,Estado,2020-03-19,0.0,0.0
Brasil,RO,Estado,2020-03-20,1.0,0.0
Brasil,RO,Estado,2020-03-21,1.0,0.0
Brasil,RO,Estado,2020-03-22,3.0,0.0
Brasil,RO,Estado,2020-03-23,3.0,0.0
Brasil,RO,Estado,2020-03-24,3.0,0.0
Brasil,RO,Estado,2020-03-25,5.0,0.0
Brasil,RO,Estado,2020-03-26,5.0,0.0
Brasil,RO,Estado,2020-03-27,6.0,0.0
Brasil,RO,Estado,2020-03-28,6.0,0.0
Brasil,RO,Estado,2020-03-29,6.0,0.0
Brasil,RO,Estado,2020-03-30,6.0,0.0
Brasil,RO,Estado,2020-03-31,8.0,1.0
Brasil,RO,Estado,2020-04-01,9.0,1.0
Brasil,RO,Estado,2020-04-02,10.0,1.0
Brasil,RO,Estado,2020-04-03,10.0,1.0
Brasil,RO,Estado,2020-04-04,11.0,1.0
Brasil,RO,Estado,2020-04-05,12.0,1.0
Brasil,RO,Estado,2020-04-06,14.0,1.0
Brasil,RO,Estado,2020-04-07,18.0,1.0
Brasil,RO,Estado,2020-04-08,18.0,1.0
Brasil,RO,Estado,2020-04-09,28.0,2.0
Brasil,RO,Estado,2020-04-10,32.0,2.0
Brasil,RO,Estado,2020-04-11,33.0,2.0
Brasil,RO,Estado,2020-04-12,35.0,2.0
Brasil,RO,Estado,2020-04-13,42.0,2.0
Brasil,RO,Estado,2020-04-14,64.0,2.0
Brasil,RO,Estado,2020-04-15,69.0,2.0
Brasil,RO,Estado,2020-04-16,76.0,3.0
Brasil,RO,Estado,2020-04-17,92.0,3.0
Brasil,RO,Estado,2020-04-18,110.0,3.0
Brasil,RO,Estado,2020-04-19,128.0,4.0
Brasil,RO,Estado,2020-04-20,160.0,4.0
Brasil,RO,Estado,2020-04-21,199.0,4.0
Brasil,RO,Estado,2020-04-22,223.0,5.0
Brasil,RO,Estado,2020-04-23,250.0,5.0
Brasil,RO,Estado,2020-04-24,290.0,5.0
Brasil,RO,Estado,2020-04-25,328.0,7.0
Brasil,RO,Estado,2020-04-26,364.0,10.0
Brasil,RO,Estado,2020-04-27,393.0,10.0
Brasil,RO,Estado,2020-04-28,413.0,11.0
Brasil,RO,Estado,2020-04-29,433.0,15.0
Brasil,RO,Estado,2020-04-30,502.0,16.0
Brasil,RO,Estado,2020-05-01,585.0,18.0
Brasil,RO,Estado,2020-05-02,653.0,23.0
Brasil,RO,Estado,2020-05-03,705.0,24.0
Brasil,RO,Estado,2020-05-04,756.0,25.0
Brasil,RO,Estado,2020-05-05,861.0,29.0
Brasil,RO,Estado,2020-05-06,943.0,33.0
Brasil,RO,Estado,2020-05-07,1098.0,37.0
Brasil,RO,Estado,2020-05-08,1222.0,39.0
Brasil,RO,Estado,2020-05-09,1263.0,41.0
Brasil,RO,Estado,2020-05-10,1302.0,43.0
Brasil,RO,Estado,2020-05-11,1396.0,47.0
Brasil,RO,Estado,2020-05-12,1460.0,50.0
Brasil,RO,Estado,2020-05-13,1612.0,50.0
Brasil,RO,Estado,2020-05-14,1686.0,56.0
Brasil,RO,Estado,2020-05-15,1789.0,62.0
