Country,Province,City,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated,CasosTotais,ObitosTotais
Brasil,AC,Estado,2020-02-25,,,,,,,0.0,0.0
Brasil,AC,Estado,2020-02-26,,,,,,,0.0,0.0
Brasil,AC,Estado,2020-02-27,,,,,,,0.0,0.0
Brasil,AC,Estado,2020-02-28,,,,,,,0.0,0.0
Brasil,AC,Estado,2020-02-29,,,,,,,0.0,0.0
Brasil,AC,Estado,2020-03-01,,,,,,,0.0,0.0
Brasil,AC,Estado,2020-03-02,,,,,,,0.0,0.0
Brasil,AC,Estado,2020-03-03,,,,,,,0.0,0.0
Brasil,AC,Estado,2020-03-04,,,,,,,0.0,0.0
Brasil,AC,Estado,2020-03-05,,,,,,,0.0,0.0
Brasil,AC,Estado,2020-03-06,,,,,,,0.0,0.0
Brasil,AC,Estado,2020-03-07,,,,,,,0.0,0.0
Brasil,AC,Estado,2020-03-08,,,,,,,0.0,0.0
Brasil,AC,Estado,2020-03-09,,,,,,,0.0,0.0
Brasil,AC,Estado,2020-03-10,,,,,,,0.0,0.0
Brasil,AC,Estado,2020-03-11,,,,,,,0.0,0.0
Brasil,AC,Estado,2020-03-12,,,,,,,0.0,0.0
Brasil,AC,Estado,2020-03-13,,,,,,,0.0,0.0
Brasil,AC,Estado,2020-03-14,,,,,,,0.0,0.0
Brasil,AC,Estado,2020-03-15,,,,,,,0.0,0.0
Brasil,AC,Estado,2020-03-16,,,,,,,0.0,0.0
Brasil,AC,Estado,2020-03-17,,,,,,,0.0,0.0
Brasil,AC,Estado,2020-03-18,,,,,,,0.0,0.0
Brasil,AC,Estado,2020-03-19,,,,,,,3.0,0.0
Brasil,AC,Estado,2020-03-20,,,,,,,7.0,0.0
Brasil,AC,Estado,2020-03-21,,,,,,,9.0,0.0
Brasil,AC,Estado,2020-03-22,,,,,,,11.0,0.0
Brasil,AC,Estado,2020-03-23,,,,,,,11.0,0.0
Brasil,AC,Estado,2020-03-24,,,,,,,17.0,0.0
Brasil,AC,Estado,2020-03-25,,,,,,,23.0,0.0
Brasil,AC,Estado,2020-03-26,,,,,,,24.0,0.0
Brasil,AC,Estado,2020-03-27,,,,,,,25.0,0.0
Brasil,AC,Estado,2020-03-28,,,,,,,25.0,0.0
Brasil,AC,Estado,2020-03-29,,,,,,,34.0,0.0
Brasil,AC,Estado,2020-03-30,,,,,,,42.0,0.0
Brasil,AC,Estado,2020-03-31,,,,,,,42.0,0.0
Brasil,AC,Estado,2020-04-01,,,,,,,43.0,0.0
Brasil,AC,Estado,2020-04-02,,,,,,,43.0,0.0
Brasil,AC,Estado,2020-04-03,,,,,,,46.0,0.0
Brasil,AC,Estado,2020-04-04,,,,,,,46.0,0.0
Brasil,AC,Estado,2020-04-05,,,,,,,48.0,0.0
Brasil,AC,Estado,2020-04-06,,,,,,,50.0,0.0
Brasil,AC,Estado,2020-04-07,,,,,,,50.0,1.0
Brasil,AC,Estado,2020-04-08,,,,,,,54.0,2.0
Brasil,AC,Estado,2020-04-09,,,,,,,62.0,2.0
Brasil,AC,Estado,2020-04-10,,,,,,,70.0,2.0
Brasil,AC,Estado,2020-04-11,,,,,,,72.0,2.0
Brasil,AC,Estado,2020-04-12,,,,,,,77.0,2.0
Brasil,AC,Estado,2020-04-13,,,,,,,90.0,3.0
Brasil,AC,Estado,2020-04-14,,,,,,,99.0,3.0
Brasil,AC,Estado,2020-04-15,101.0,83.0,12.0,12.0,3.0,3.0,101.0,3.0
Brasil,AC,Estado,2020-04-16,104.0,80.0,12.0,13.0,3.0,3.0,110.0,5.0
Brasil,AC,Estado,2020-04-17,106.0,78.0,12.0,13.0,3.0,3.0,135.0,5.0
Brasil,AC,Estado,2020-04-18,109.0,76.0,12.0,14.0,3.0,3.0,142.0,5.0
Brasil,AC,Estado,2020-04-19,113.0,75.0,12.0,14.0,3.0,3.0,163.0,6.0
Brasil,AC,Estado,2020-04-20,118.0,74.0,12.0,15.0,3.0,3.0,176.0,8.0
Brasil,AC,Estado,2020-04-21,123.0,75.0,12.0,16.0,4.0,3.0,195.0,8.0
Brasil,AC,Estado,2020-04-22,130.0,77.0,13.0,17.0,4.0,3.0,214.0,8.0
Brasil,AC,Estado,2020-04-23,139.0,81.0,14.0,18.0,4.0,3.0,227.0,10.0
Brasil,AC,Estado,2020-04-24,149.0,86.0,14.0,20.0,4.0,3.0,234.0,11.0
Brasil,AC,Estado,2020-04-25,162.0,93.0,16.0,22.0,4.0,3.0,258.0,11.0
Brasil,AC,Estado,2020-04-26,177.0,101.0,17.0,24.0,4.0,4.0,279.0,11.0
Brasil,AC,Estado,2020-04-27,195.0,112.0,19.0,27.0,4.0,4.0,279.0,14.0
Brasil,AC,Estado,2020-04-28,216.0,126.0,21.0,30.0,4.0,5.0,311.0,16.0
Brasil,AC,Estado,2020-04-29,242.0,143.0,24.0,34.0,5.0,5.0,354.0,17.0
Brasil,AC,Estado,2020-04-30,271.0,162.0,27.0,38.0,5.0,6.0,404.0,19.0
Brasil,AC,Estado,2020-05-01,305.0,185.0,31.0,43.0,5.0,7.0,486.0,19.0
Brasil,AC,Estado,2020-05-02,345.0,212.0,35.0,49.0,5.0,8.0,553.0,21.0
Brasil,AC,Estado,2020-05-03,390.0,243.0,41.0,56.0,5.0,9.0,657.0,24.0
Brasil,AC,Estado,2020-05-04,443.0,278.0,46.0,64.0,6.0,10.0,733.0,28.0
Brasil,AC,Estado,2020-05-05,502.0,318.0,53.0,73.0,6.0,12.0,817.0,29.0
Brasil,AC,Estado,2020-05-06,569.0,362.0,60.0,83.0,7.0,13.0,943.0,33.0
Brasil,AC,Estado,2020-05-07,644.0,413.0,69.0,94.0,7.0,15.0,1014.0,36.0
Brasil,AC,Estado,2020-05-08,729.0,469.0,78.0,107.0,8.0,17.0,1177.0,38.0
Brasil,AC,Estado,2020-05-09,823.0,531.0,88.0,121.0,8.0,20.0,1335.0,39.0
Brasil,AC,Estado,2020-05-10,928.0,599.0,100.0,136.0,9.0,22.0,1447.0,41.0
Brasil,AC,Estado,2020-05-11,1044.0,673.0,112.0,154.0,10.0,25.0,1460.0,45.0
Brasil,AC,Estado,2020-05-12,1172.0,755.0,126.0,173.0,10.0,28.0,1590.0,51.0
Brasil,AC,Estado,2020-05-13,1312.0,843.0,141.0,194.0,11.0,31.0,1694.0,52.0
Brasil,AC,Estado,2020-05-14,1465.0,938.0,157.0,217.0,13.0,34.0,1740.0,55.0
Brasil,AC,Estado,2020-05-15,1631.0,1039.0,174.0,242.0,14.0,38.0,1785.0,57.0
Brasil,AC,Estado,2020-05-16,1810.0,1148.0,192.0,269.0,15.0,42.0,1867.0,59.0
Brasil,AC,Estado,2020-05-17,2005.0,1265.0,212.0,298.0,17.0,46.0,1997.0,60.0
Brasil,AC,Estado,2020-05-18,2215.0,1388.0,234.0,330.0,18.0,51.0,2234.0,67.0
Brasil,AC,Estado,2020-05-19,2440.0,1518.0,256.0,363.0,20.0,56.0,2482.0,72.0
Brasil,AC,Estado,2020-05-20,2679.0,1655.0,279.0,399.0,22.0,61.0,2817.0,76.0
Brasil,AC,Estado,2020-05-21,2934.0,1797.0,304.0,437.0,24.0,66.0,3103.0,78.0
Brasil,AC,Estado,2020-05-22,3206.0,1947.0,330.0,478.0,26.0,71.0,3343.0,80.0
Brasil,AC,Estado,2020-05-23,3493.0,2103.0,357.0,521.0,29.0,77.0,3867.0,87.0
Brasil,AC,Estado,2020-05-24,3797.0,2265.0,386.0,567.0,32.0,83.0,4160.0,92.0
Brasil,AC,Estado,2020-05-25,4115.0,2431.0,415.0,615.0,35.0,89.0,4501.0,97.0
Brasil,AC,Estado,2020-05-26,4449.0,2601.0,445.0,665.0,38.0,95.0,4781.0,105.0
Brasil,AC,Estado,2020-05-27,4798.0,2775.0,476.0,717.0,41.0,101.0,5251.0,113.0
Brasil,AC,Estado,2020-05-28,5163.0,2954.0,508.0,772.0,45.0,108.0,5600.0,122.0
Brasil,AC,Estado,2020-05-29,5544.0,3137.0,541.0,829.0,48.0,115.0,5841.0,135.0
Brasil,AC,Estado,2020-05-30,5938.0,3322.0,574.0,888.0,53.0,121.0,6072.0,142.0
Brasil,AC,Estado,2020-05-31,6345.0,3507.0,608.0,949.0,57.0,128.0,6219.0,148.0
Brasil,AC,Estado,2020-06-01,6764.0,3693.0,642.0,1012.0,61.0,135.0,6326.0,161.0
Brasil,AC,Estado,2020-06-02,7197.0,3879.0,676.0,1077.0,66.0,141.0,6465.0,165.0
Brasil,AC,Estado,2020-06-03,7642.0,4067.0,711.0,1144.0,71.0,148.0,6679.0,171.0
Brasil,AC,Estado,2020-06-04,8099.0,4255.0,746.0,1212.0,77.0,155.0,7021.0,181.0
Brasil,AC,Estado,2020-06-05,8566.0,4440.0,781.0,1282.0,82.0,161.0,7284.0,190.0
Brasil,AC,Estado,2020-06-06,9042.0,4621.0,815.0,1354.0,88.0,168.0,7525.0,201.0
Brasil,AC,Estado,2020-06-07,9525.0,4799.0,849.0,1426.0,94.0,174.0,7983.0,207.0
Brasil,AC,Estado,2020-06-08,10016.0,4973.0,882.0,1500.0,100.0,180.0,8128.0,211.0
Brasil,AC,Estado,2020-06-09,10514.0,5144.0,916.0,1574.0,107.0,187.0,8457.0,223.0
Brasil,AC,Estado,2020-06-10,11020.0,5311.0,948.0,1650.0,113.0,192.0,8746.0,237.0
Brasil,AC,Estado,2020-06-11,11531.0,5472.0,980.0,1727.0,120.0,198.0,9091.0,245.0
Brasil,AC,Estado,2020-06-12,12044.0,5627.0,1011.0,1804.0,128.0,204.0,9295.0,254.0
Brasil,AC,Estado,2020-06-13,12560.0,5773.0,1041.0,1881.0,135.0,209.0,9534.0,256.0
Brasil,AC,Estado,2020-06-14,13077.0,5912.0,1070.0,1959.0,143.0,214.0,9642.0,259.0
Brasil,AC,Estado,2020-06-15,13595.0,6043.0,1097.0,2037.0,150.0,218.0,9771.0,265.0
Brasil,AC,Estado,2020-06-16,14115.0,6168.0,1124.0,2115.0,158.0,223.0,10003.0,271.0
Brasil,AC,Estado,2020-06-17,14635.0,6285.0,1149.0,2193.0,167.0,227.0,10339.0,281.0
Brasil,AC,Estado,2020-06-18,15153.0,6393.0,1173.0,2270.0,175.0,230.0,10664.0,287.0
Brasil,AC,Estado,2020-06-19,15668.0,6492.0,1196.0,2347.0,183.0,234.0,10987.0,292.0
Brasil,AC,Estado,2020-06-20,16179.0,6580.0,1216.0,2424.0,192.0,237.0,11263.0,297.0
Brasil,AC,Estado,2020-06-21,16685.0,6658.0,1236.0,2500.0,201.0,239.0,11381.0,300.0
Brasil,AC,Estado,2020-06-22,17186.0,6727.0,1253.0,2575.0,210.0,241.0,11539.0,305.0
Brasil,AC,Estado,2020-06-23,17683.0,6787.0,1269.0,2650.0,219.0,243.0,11810.0,321.0
Brasil,AC,Estado,2020-06-24,18175.0,6839.0,1284.0,2724.0,228.0,245.0,12022.0,326.0
Brasil,AC,Estado,2020-06-25,18660.0,6882.0,1297.0,2796.0,237.0,246.0,12304.0,335.0
Brasil,AC,Estado,2020-06-26,19137.0,6914.0,1308.0,2868.0,246.0,247.0,12644.0,343.0
Brasil,AC,Estado,2020-06-27,19605.0,6935.0,1318.0,2938.0,256.0,248.0,12913.0,351.0
Brasil,AC,Estado,2020-06-28,20064.0,6947.0,1325.0,3007.0,265.0,248.0,13058.0,353.0
Brasil,AC,Estado,2020-06-29,20515.0,6949.0,1331.0,3075.0,275.0,248.0,13146.0,361.0
Brasil,AC,Estado,2020-06-30,20956.0,6942.0,1336.0,3141.0,284.0,247.0,13253.0,365.0
Brasil,AC,Estado,2020-07-01,21389.0,6929.0,1339.0,3206.0,294.0,247.0,13715.0,370.0
Brasil,AC,Estado,2020-07-02,21813.0,6907.0,1340.0,3269.0,303.0,246.0,14048.0,378.0
Brasil,AC,Estado,2020-07-03,22227.0,6877.0,1340.0,3331.0,313.0,244.0,14112.0,387.0
Brasil,AC,Estado,2020-07-04,22629.0,6838.0,1339.0,3392.0,322.0,243.0,14487.0,391.0
Brasil,AC,Estado,2020-07-05,23020.0,6791.0,1336.0,3450.0,332.0,241.0,14622.0,391.0
Brasil,AC,Estado,2020-07-06,23400.0,6736.0,1331.0,3507.0,341.0,238.0,14688.0,394.0
Brasil,AC,Estado,2020-07-07,23769.0,6673.0,1325.0,3563.0,350.0,236.0,14941.0,399.0
Brasil,AC,Estado,2020-07-08,24127.0,6604.0,1317.0,3616.0,360.0,233.0,15167.0,404.0
Brasil,AC,Estado,2020-07-09,24476.0,6531.0,1309.0,3669.0,369.0,230.0,15465.0,411.0
Brasil,AC,Estado,2020-07-10,24814.0,6453.0,1299.0,3719.0,378.0,227.0,15768.0,417.0
Brasil,AC,Estado,2020-07-11,25142.0,6369.0,1288.0,3769.0,387.0,224.0,16080.0,419.0
Brasil,AC,Estado,2020-07-12,25458.0,6280.0,1277.0,3816.0,396.0,221.0,16190.0,426.0
Brasil,AC,Estado,2020-07-13,25763.0,6184.0,1263.0,3862.0,405.0,217.0,16260.0,430.0
Brasil,AC,Estado,2020-07-14,26055.0,6083.0,1249.0,3906.0,414.0,213.0,16479.0,436.0
Brasil,AC,Estado,2020-07-15,26337.0,5978.0,1234.0,3948.0,423.0,209.0,16672.0,446.0
Brasil,AC,Estado,2020-07-16,26608.0,5869.0,1218.0,3989.0,431.0,205.0,16865.0,447.0
Brasil,AC,Estado,2020-07-17,26871.0,5759.0,1201.0,4028.0,440.0,201.0,16965.0,452.0
Brasil,AC,Estado,2020-07-18,27124.0,5648.0,1184.0,4066.0,448.0,197.0,17202.0,457.0
Brasil,AC,Estado,2020-07-19,27368.0,5534.0,1166.0,4102.0,456.0,193.0,17295.0,460.0
Brasil,AC,Estado,2020-07-20,27601.0,5417.0,1148.0,4137.0,464.0,188.0,17462.0,465.0
Brasil,AC,Estado,2020-07-21,27824.0,5298.0,1128.0,4171.0,472.0,184.0,17700.0,469.0
Brasil,AC,Estado,2020-07-22,28038.0,5176.0,1109.0,4203.0,480.0,179.0,17979.0,470.0
Brasil,AC,Estado,2020-07-23,28242.0,5053.0,1088.0,4234.0,487.0,175.0,18157.0,474.0
Brasil,AC,Estado,2020-07-24,28438.0,4930.0,1068.0,4263.0,495.0,170.0,18393.0,480.0
Brasil,AC,Estado,2020-07-25,28625.0,4807.0,1047.0,4291.0,502.0,166.0,18657.0,483.0
Brasil,AC,Estado,2020-07-26,28805.0,4684.0,1026.0,4318.0,509.0,161.0,18745.0,486.0
Brasil,AC,Estado,2020-07-27,28976.0,4561.0,1005.0,4344.0,516.0,157.0,18783.0,493.0
Brasil,AC,Estado,2020-07-28,29139.0,4437.0,983.0,4368.0,523.0,152.0,19132.0,500.0
Brasil,AC,Estado,2020-07-29,29294.0,4313.0,961.0,4391.0,530.0,148.0,19366.0,510.0
Brasil,AC,Estado,2020-07-30,29442.0,4190.0,940.0,4414.0,536.0,143.0,19573.0,521.0
Brasil,AC,Estado,2020-07-31,29583.0,4069.0,918.0,4435.0,543.0,139.0,19625.0,531.0
Brasil,AC,Estado,2020-08-01,29718.0,3948.0,896.0,4455.0,549.0,135.0,19930.0,535.0
Brasil,AC,Estado,2020-08-02,29845.0,3829.0,874.0,4474.0,555.0,130.0,19966.0,537.0
Brasil,AC,Estado,2020-08-03,29967.0,3711.0,852.0,4492.0,561.0,126.0,20339.0,539.0
Brasil,AC,Estado,2020-08-04,30082.0,3594.0,831.0,4510.0,566.0,122.0,20708.0,545.0
